balPayments,expDlr,expWgt,hsCd,impDlr,impWgt,statCd,statCdCntnKor1,statKor,year
217335838,218799463,55377988,-,1463625,530355,-,-,-,총계
101666,101666,18149,1902301010,0,0,AE,아랍에미리트 연합,라면,2015.01
118927,118927,30850,1902301010,0,0,AO,앙골라,라면,2015.01
137306,137306,25485,1902301010,0,0,AS,아메리칸 사모아,라면,2015.01
917813,917845,205793,1902301010,32,2,AU,호주,라면,2015.01
28059,28059,8471,1902301010,0,0,BD,방글라데시,라면,2015.01
37297,37297,9528,1902301010,0,0,BE,벨기에,라면,2015.01
2520,2520,760,1902301010,0,0,BG,불가리아,라면,2015.01
14120,14120,3020,1902301010,0,0,BN,브루나이,라면,2015.01
73597,73597,19878,1902301010,0,0,BR,브라질,라면,2015.01
482271,482271,124991,1902301010,0,0,CA,캐나다,라면,2015.01
28085,28085,7029,1902301010,0,0,CH,스위스,라면,2015.01
17276,17276,885,1902301010,0,0,CI,코트디봐르,라면,2015.01
29411,29411,6921,1902301010,0,0,CL,칠레,라면,2015.01
150,150,13,1902301010,0,0,CM,카메룬,라면,2015.01
3095571,3104106,605148,1902301010,8535,7500,CN,중국,라면,2015.01
31992,31992,7518,1902301010,0,0,CZ,체코공화국,라면,2015.01
38634,38634,11040,1902301010,0,0,DE,독일,라면,2015.01
28570,28570,7494,1902301010,0,0,DO,도미니카 공화국,라면,2015.01
67749,67749,16393,1902301010,0,0,ES,스페인,라면,2015.01
17968,17968,4167,1902301010,0,0,FJ,피지,라면,2015.01
43778,43778,8841,1902301010,0,0,FM,마이크로네시아,라면,2015.01
34970,34994,12197,1902301010,24,1,FR,프랑스,라면,2015.01
806188,806188,182591,1902301010,0,0,GB,영국,라면,2015.01
13671,13671,795,1902301010,0,0,GH,가나,라면,2015.01
61397,61397,8396,1902301010,0,0,GT,과테말라,라면,2015.01
101633,101633,19585,1902301010,0,0,GU,괌,라면,2015.01
1072460,1072460,295133,1902301010,0,0,HK,홍콩,라면,2015.01
8648,8648,130,1902301010,0,0,HT,아이티,라면,2015.01
176246,176246,47930,1902301010,0,0,ID,인도네시아,라면,2015.01
3758,3758,2000,1902301010,0,0,IL,이스라엘,라면,2015.01
67477,67477,18134,1902301010,0,0,IN,인도,라면,2015.01
21301,21301,5147,1902301010,0,0,IT,이탈리아,라면,2015.01
23459,23459,4446,1902301010,0,0,JO,요르단,라면,2015.01
1903069,1910709,447225,1902301010,7640,664,JP,일본,라면,2015.01
6750,6750,1950,1902301010,0,0,KG,키르기스스탄,라면,2015.01
117036,117036,29092,1902301010,0,0,KH,캄보디아,라면,2015.01
14614,14614,4857,1902301010,0,0,KI,키리바티,라면,2015.01
28951,28951,5065,1902301010,0,0,KW,쿠웨이트,라면,2015.01
441313,441313,63519,1902301010,0,0,KZ,카자흐스탄,라면,2015.01
68269,68269,8116,1902301010,0,0,LA,라오스,라면,2015.01
437,437,112,1902301010,0,0,LK,스리랑카,라면,2015.01
143,143,100,1902301010,0,0,MG,마다카스카르,라면,2015.01
1394,1394,155,1902301010,0,0,MH,마샬군도,라면,2015.01
81376,81376,20276,1902301010,0,0,MM,미얀마,라면,2015.01
91297,91297,25262,1902301010,0,0,MN,몽골,라면,2015.01
9601,9601,8125,1902301010,0,0,MO,마카오,라면,2015.01
59476,59476,13598,1902301010,0,0,MP,북마리아나 군도,라면,2015.01
2942,2942,793,1902301010,0,0,MX,멕시코,라면,2015.01
387785,387785,109541,1902301010,0,0,MY,말레이시아,라면,2015.01
174,174,25,1902301010,0,0,NG,나이지리아,라면,2015.01
264893,264893,65273,1902301010,0,0,NL,네덜란드,라면,2015.01
179574,179574,47738,1902301010,0,0,NO,노르웨이,라면,2015.01
102420,102426,23920,1902301010,6,0,NZ,뉴질랜드,라면,2015.01
770437,770437,126255,1902301010,0,0,PH,필리핀,라면,2015.01
923,923,181,1902301010,0,0,PK,파키스탄,라면,2015.01
20358,20358,4015,1902301010,0,0,PL,폴란드,라면,2015.01
35861,35861,6093,1902301010,0,0,QA,카타르,라면,2015.01
190434,190434,51580,1902301010,0,0,RU,러시아 연방,라면,2015.01
128245,128270,23778,1902301010,25,4,SA,사우디아라비아,라면,2015.01
3640,3640,2205,1902301010,0,0,SD,수단,라면,2015.01
286416,286416,137955,1902301010,0,0,SE,스웨덴,라면,2015.01
387116,387116,98692,1902301010,0,0,SG,싱가포르,라면,2015.01
4135,4135,1446,1902301010,0,0,SI,슬로베니아,라면,2015.01
32097,32097,7456,1902301010,0,0,SK,슬로바키아,라면,2015.01
2265,2265,35,1902301010,0,0,SN,세네갈,라면,2015.01
129510,138567,42004,1902301010,9057,2377,TH,태국,라면,2015.01
680,680,175,1902301010,0,0,TR,튀르키예,라면,2015.01
1411724,1411724,421326,1902301010,0,0,TW,대만,라면,2015.01
2170936,2192813,557682,1902301010,21877,3743,US,미국,라면,2015.01
387009,403615,93303,1902301010,16606,9965,VN,베트남,라면,2015.01
7322,7322,1875,1902301010,0,0,VU,바누아투,라면,2015.01
82266,82266,20789,1902301010,0,0,WS,사모아,라면,2015.01
10472,10472,2562,1902301010,0,0,YE,예맨,라면,2015.01
9927,9927,2113,1902301010,0,0,ZA,남아프리카공화국,라면,2015.01
186764,186764,37756,1902301010,0,0,AE,아랍에미리트 연합,라면,2015.02
21151,21151,4572,1902301010,0,0,AR,아르헨티나,라면,2015.02
117780,117780,20258,1902301010,0,0,AS,아메리칸 사모아,라면,2015.02
846955,846955,197761,1902301010,0,0,AU,호주,라면,2015.02
24868,24868,8563,1902301010,0,0,BD,방글라데시,라면,2015.02
183671,183671,37372,1902301010,0,0,BE,벨기에,라면,2015.02
1,1,1,1902301010,0,0,BF,부르키나 파소,라면,2015.02
2536,2536,486,1902301010,0,0,BH,바레인,라면,2015.02
40910,40910,7978,1902301010,0,0,BR,브라질,라면,2015.02
335363,335363,84063,1902301010,0,0,CA,캐나다,라면,2015.02
19680,19680,8286,1902301010,0,0,CL,칠레,라면,2015.02
1093081,1132336,237919,1902301010,39255,29583,CN,중국,라면,2015.02
